No,base_url,section,section_url,group,group_url,url,sub_urls,title,title_kanji,title_kana,description,文字数,ステータス,修正後回答,用語(Kanji),用語(Hiragana),類義(synonyms1),類義(synonyms2),類義(synonyms3),類義(synonyms4),類義(synonyms5),類義(synonyms6),類義(synonyms7),類義(synonyms8),類義(synonyms9),類義(synonyms10),,,,,メモ(memo),受領日
,http://h-sougi.com/,,,せ,http://h-sougi.com/category/word_se,http://h-sougi.com/archives/252,,世話役（せわやく）,世話役,せわやく,"世話役には、葬儀をスムーズに行なうためにいくつかの種類が設けられています。
・葬儀に関する経費すべての出納を担当する会計係
・受付係、僧侶、弔問客、会葬者を接待する係
・必要品をそろえる調達係
・道案内や交通整理を受け持つ交通係
・通夜、葬儀の司会進行をする進行係（葬儀社側が司会をつとめる事もあります）
その中の責任者となる人を世話役代表とし、遺族が葬儀社と打ち合わせするときには、世話役代表が一緒に立会い、各係に指示を出すようになります。",221,削除,削除,削除,削除,,,,,,,,,,,,,,,重複,17/5/18
,https://www.aeonlife.jp/glossary/,さ行,https://www.aeonlife.jp/glossary/word/sa_list.html,さ,,https://www.aeonlife.jp//glossary/word/sennge.html,,遷化 （せんげ）,遷化,せんげ,菩薩がこの世の教化の縁が尽きて、他の国土の教化に移ること。今日では高僧の死を言います。,43,削除,削除,削除,削除,,,,,,,,,,,,,,,重複,20/4/18
,http://h-sougi.com/,,,せ,http://h-sougi.com/category/word_se,http://h-sougi.com/archives/253,,線香（せんこう）,線香,せんこう,"“香を焚く”という習慣は、古来からインドで行なわれていました。
。
インドでお釈迦様が誕生し、仏教が中国を経て日本へと伝わってくると、儀式を行なう場をきよめる意味で香が焚かれるようになりました。当時の香は、伽羅、沈香、白檀といった香木を細かく砕いたもので、火をつけても短時間しか持たないものでした。
。現在では実にさまざまな香りの線香が販売されていますが、主に植物系の天然成分を使用しているのが特徴です。
植物系の天然成分といえば、今はやりのアロマテラピーで使用するエッセンシャルオイルと同じです。供養のための線香ですが、同時に私たちの心も癒されますね。
。“ロウソクの火消し”という道具もありますので、試してみてください。",312,削除,削除,削除,削除,,,,,,,,,,,,,,,重複,17/5/18
,http://h-sougi.com/,,,せ,http://h-sougi.com/category/word_se,http://h-sougi.com/archives/254,,遷霊祭、通夜祭（せんれいさい、つやさい）,遷霊祭、通夜祭,せんれいさい、つやさい,"神葬祭の式をつかさどる神官を「斎主」、式進行の世話をする人たちを「斎員」と呼びます。また、楽を奏でる係を「楽員」といいますが、最近では省略することが多いようです。
通夜祭の式次第は、
①斎主、副斎主、斎員の順で着席します
②続いて喪主、遺族、親戚、参列者が着席します
③斎主によるご遺体への拝礼、斎主に従って参列者に拝礼します
④副斎主か斎員が、神饌（神にささげる供物）を供えます
⑤斎主による祭詞（故人の経歴や人柄をあらわしたもの）の奏上
⑥楽員による詠歌（るいか）の奏上
⑦玉串奉奠(たまぐしほうてん)を行ないます。最初に斎主が玉串を捧げ、続いて副斎主、喪主、遺族、親族の順に全員が行ないます
⑧副斎主か斎員が、以下が神饌を下げます（撤饌と呼びます）
⑨斎主がご遺体に拝礼し、斎主に従って全員が拝礼します
⑩先に斎主、副斎主、斎員らが退出し、続いて喪主たちも退出します。
通夜祭に引き続き、故人の御霊（みたま）を霊璽（仏式で位牌にあたるもの）に移す「遷霊祭（せんれいさい）」を行います。式場の明かりを消した中で行なわれ、霊璽を柩に向けながら、斎主が「遷霊の詞」を唱えるものです。
霊魂が遷霊した霊璽を「仮霊舎」に安置し、式場の明かりをつけます。通夜祭が終了した後のおもてなしは、喪家で火を使った調理はしませんので、仕出し料理をとることが多いようです。",577,削除,故人様の霊を遺体から霊璽に移す儀式のことをいいます。神道の儀式では重要な位置を占めます。灯をすべて消し、祭主は霊璽を棺に向け、還霊詞を述べます。「御霊移し」とも呼ばれます。,削除,削除,,,,,,,,,,,,,,,重複,17/5/18
,https://www.aoba-c.com/%E8%91%AC%E5%84%80%E3%81%AE%E8%B1%86%E7%9F%A5%E8%AD%98/%E8%91%AC%E5%84%80%E7%94%A8%E8%AA%9E%E9%9B%86/,,,,,,,遷霊祭・通夜祭（せんれいさい・つやさい）,遷霊祭・通夜祭,せんれいさい・つやさい,神道の通夜祭は仏式の通夜式と同じです。自宅か斎場で通夜祭を執り行います。神葬祭をつかさどる神官を「斎主（さいしゅ）」といい、式進行の世話をする人を「斎員（さいいん）」といいます。,89,削除,削除,削除,削除,,,,,,,,,,,,,,,重複,17/5/18
,http://www.aoisousai.net/category/1531697.html,,,,,,,そうぎ(葬儀),葬儀,そうぎ,葬送儀礼の略。看取り・納棺・通夜・葬儀・告別式・火葬・納骨・四十九日などの喪、と続く、葬儀前から葬儀後に続く一連の死者を葬る作業。,65,削除,削除,削除,削除,,,,,,,,,,,,,,,重複,17/5/18
,http://www.aichi-shien.or.jp/sougiyougo,さ行,http://www.aichi-shien.or.jp/sougiyougo#ttl-sa,,,,,葬儀 そうぎ,葬儀,そうぎ,"葬送儀礼の略。
 葬儀におけるひととおりの流れ。",25,削除,削除,削除,削除,,,,,,,,,,,,,,,重複,17/5/18
,http://www.gotousogisya.com/word.html,さ行,,,,,,葬儀（そうぎ）,葬儀,そうぎ,遺族・近親者・故人と関係の深い交友者のみで故人に別れを告げる儀式。,33,削除,削除,削除,削除,,,,,,,,,,,,,,,重複,17/5/18
,http://h-sougi.com/,,,そ,http://h-sougi.com/category/word_so,http://h-sougi.com/archives/255,,葬儀（そうぎ）,葬儀,そうぎ,"“葬送”は死者をお墓等に葬るために送ることを言い、“儀礼”は神様、仏様、またはご先祖様の霊に対する礼拝を表したものです。葬送の方法や、儀礼については、宗教、宗派、地域によって異なると思いますが、いずれも遺族が中心となって行ないます。
ふだん、葬儀式のことを「葬儀」と略して言っていますので、葬儀＝葬儀式と思っている方も多いかもしれませんが、葬儀式は「葬儀の中の一部」ということになります。
葬儀式は、故人の冥福を祈って、遺族や近親者が営むものです。今では「葬儀・告別式会場」というように、同時に行なわれることが多いのですが、告別式は故人の友人、知人が集まってお別れをするものですので、本来は別々に行なわれていました。",308,削除,削除,削除,削除,,,,,,,,,,,,,,,重複,17/5/18
,http://h-sougi.com/,,,そ,http://h-sougi.com/category/word_so,http://h-sougi.com/archives/257,,葬儀委員長（そうぎいいんちょう）,葬儀委員長,そうぎいいんちょう,"葬儀委員長は、社葬の場合、社員の葬儀では社長が、現職社長の葬儀では、後任の社長が葬儀委員長をつとめるのが一般的です。
焼香がおわり、僧侶の退席を全員でお見送りした後、葬儀委員長の挨拶となりますが、遺族は委員長と同じ立場になりますので、挨拶の間、委員長の後ろに並びます。
現在では、主に社葬(団体葬）のときに、会社側から選任される代表者を「葬儀委員長」と言いますが、以前は個人でも葬儀委員長をたてるのが一般的でした。（地域によります）
以前は葬儀を自宅で行なうのが普通でしたので、お寺や火葬の手配、会計、精進料理の準備と、葬儀のすべてを親族や隣近所の人達が協力し合って行なっていたのです。
そこで全体をとりまとめていたのが「葬儀委員長」で、地元のことを良く知っている町内会長がなることが多かったようです。",351,削除,削除,削除,削除,,,,,,,,,,,,,,,重複,17/5/18
,http://www.aoisousai.net/category/1531697.html,,,,,,,そうぎしき(葬儀式),葬儀式,そうぎしき,　死者を死後の世界(あの世)に送るために営まれる儀式。宗教的な儀礼を伴って行われることが多い。現在では告別式と同時並行的に進行する形が多い。,70,削除,削除,削除,削除,,,,,,,,,,,,,,,重複,17/5/18
,http://www.gotousogisya.com/word.html,さ行,,,,,,葬具(そうぐ),葬具,そうぐ,葬式を行うのに用いる道具のこと。,16,削除,削除,削除,削除,,,,,,,,,,,,,,,重複,17/5/18
,http://www.gotousogisya.com/word.html,さ行,,,,,,喪家(そうけ),喪家,そうけ,故人の家族のこと。,9,削除,削除,削除,削除,,,,,,,,,,,,,,,重複,17/5/18
,http://souzoku-sougi.com/publics/index/139/,さ行,http://souzoku-sougi.com/publics/index/139/#page139_368_633,,,http://souzoku-sougi.com/publics/index/139/#page139_130_521,,葬祭ディレクター(そうさいでぃれくたー),葬祭ディレクター,そうさいでぃれくたー,1996年、労働省より認定された葬祭業に従事する者の専門資格。葬儀の本体である遺族や宗教者に協力し、専門の知識と技術をもって式を円滑に運営・進行することを目的に設置されました。,88,削除,削除,削除,削除,,,,,,,,,,,,,,,重複,20/4/18
,https://www.aoba-c.com/%E8%91%AC%E5%84%80%E3%81%AE%E8%B1%86%E7%9F%A5%E8%AD%98/%E8%91%AC%E5%84%80%E7%94%A8%E8%AA%9E%E9%9B%86/,,,,,,,葬場祭（そうじょうさい）,葬場祭,そうじょうさい,神式の「葬場祭（そうじょうさい）」は仏式の葬儀に当たります。「葬場祭」が終了した後に告別式をおこないます。式場となる自宅や斎場は斎竹（忌み竹）をたててしめ縄、鯨幕（くじらまく）をはることもあります。,99,削除,削除,削除,削除,,,,,,,,,,,,,,,重複,17/5/18
,http://h-sougi.com/,,,そ,http://h-sougi.com/category/word_so,http://h-sougi.com/archives/214,,葬場祭（そうじょうさい）,葬場祭,そうじょうさい,"式場となる自宅や斎場は、周囲に斎竹（忌み竹）をたて、しめ縄、鯨幕をはります。
玄関前、あるいは受付に、桶に入れた水と柄杓、懐紙を用意して会葬者が「手水の儀」をおこなってから入るようにしますが、最近では省略することも多いようです。
葬場祭の式次第は次の通りです。
①手水の儀
②喪主、遺族、参列者着席
③斎主入場。全員が一礼して迎えます
④進行係による開会の辞
⑤修祓の儀(しゅうばつのぎ)・斎主が式場、供物、参列者全員を祓い清める儀式。儀式中、全員が起立して頭を下げてお祓いを受けます
⑥献饌(けんせん)の儀・副斎主か斎員が、神饌（神に供える食物、水）と幣帛（供物）を供え、楽員が雅楽を奉上します。最近では省略されることが多いようです
⑦祝詞（のりと）奏上・祝詞には故人の人柄や経歴があらわされていて、故人が守護神となって見守り続けることを祈るものです
⑧ 誄詞(るいし)奏上・副斎主が故人を偲び、誄詞の奏上をします
⑨斎主の拝礼に続き、一同もこれに従います
⑩弔辞、弔電の紹介
⑪撤饌(てつせん)の儀・副斎主が神饌と幣帛を祭壇から下げます
⑫斎主退出
⑬喪主挨拶
⑭閉会の辞。
告別式を引き続き行なう場合は、進行係から告別式の開会を告げ、一般会葬者による玉串奉奠をおこない、全員が終了したところで閉会となります。",557,削除,削除,削除,削除,,,,,,,,,,,,,,,重複,17/5/18
,https://www.aeonlife.jp/glossary/,さ行,https://www.aeonlife.jp/glossary/word/sa_list.html,さ,,https://www.aeonlife.jp//glossary/word/soutousyuu.html,,曹洞宗 （そうとうしゅう）,曹洞宗,そうとうしゅう,禅宗三派の一つ。宗祖道元は入宋して法を受け、帰国後、永平寺を開きました。主著に「正法眼蔵」があり、越前の永平寺と鶴見の総持寺を大本山とします。本尊は釈迦牟尼仏で経典は「修証義」、「般若心経」などです。,100,削除,削除,削除,削除,,,,,,,,,,,,,,,重複,20/4/18
,http://h-sougi.com/,,,そ,http://h-sougi.com/category/word_so,http://h-sougi.com/archives/258,,曹洞宗（そうとうしゅう）,曹洞宗,そうとうしゅう,"曹洞宗は、道元を開祖とし、南無釈迦牟尼仏をご本尊とする宗派です。
「即心是仏」とは、座禅の心で日常を生きること、座禅と日々暮らしている生活は一つであることから、今、生きていることそのものが修行であり、仏の行である、という教えです。
曹洞宗の戒名には、特別な決まりはありませんが、墓石の上部には「円相」という丸い円を彫ったり、「南無釈迦牟尼仏」とすることもあります。
仏壇は、中央にご本尊、右に高祖・承陽大師道元禅師、左に太祖・常済瑩山禅師の「三尊仏形式」としてお祀りし、般若心経を唱えます。
現在、
駒澤大学や東北福祉大学などの教育施設を有しています。",276,削除,削除,削除,削除,,,,,,,,,,,,,,,重複,17/5/18
,http://www.aoisousai.net/category/1531697.html,,,,,,,そうれつ(葬列),葬列,そうれつ,行列を組んで遺体を火葬場または墓地に運ぶこと。運搬機能としては霊枢車に代替され、死の告知・告別という機能としては告別式に代替された。告別式に中心の座を譲る以前には葬列は葬式のメインイベントであった。「野辺送り」参照。,108,削除,削除,削除,削除,,,,,,,,,,,,,,,重複,17/5/18
,http://www.aoisousai.net/category/1531697.html,,,,,,,そくじっかえし(即日返し),即日返し,そくじっかえし,参照「返礼品」。葬儀当日にする香典返しのこと。,23,削除,削除,削除,削除,,,,,,,,,,,,,,,重複,17/5/18
,http://www.gotousogisya.com/word.html,さ行,,,,,,即日返し(そくじつかえし),即日返し,そくじつかえし,葬儀当日にする香典返しのこと。,15,削除,削除,削除,削除,,,,,,,,,,,,,,,重複,17/5/18
,http://www.aoisousai.net/category/1531697.html,,,,,,,そくよう(粗供養),粗供養,そくよう,「会葬礼口問」参照。そのばがえし(その場返し)「即日返し」参照。,32,削除,削除,削除,削除,,,,,,,,,,,,,,,重複,17/5/18
,http://www.gotousogisya.com/word.html,さ行,,,,,,粗供養(そくよう),粗供養,そくよう,葬儀に会葬してくださった方に手渡す礼品のこと。,23,削除,削除,削除,削除,,,,,,,,,,,,,,,重複,17/5/18
,https://www.aeonlife.jp/glossary/,さ行,https://www.aeonlife.jp/glossary/word/sa_list.html,さ,,https://www.aeonlife.jp//glossary/word/sokuyouhinn.html,,粗供養品 （そくようひん）,粗供養品,そくようひん,葬儀のさい遺族側が、会葬者の焼香のあと、謝意をあらわすために渡す品のこと。通常ハンカチ、タオル、石鹸など、会葬礼状に添えてお渡しします。,68,削除,削除,削除,削除,,,,,,,,,,,,,,,重複,20/4/18
,https://www.aoba-c.com/%E8%91%AC%E5%84%80%E3%81%AE%E8%B1%86%E7%9F%A5%E8%AD%98/%E8%91%AC%E5%84%80%E7%94%A8%E8%AA%9E%E9%9B%86/,,,,,,,卒塔婆（そとうば）,卒塔婆,そとうば,卒塔婆（そとうば）とは、お墓の後ろに立てかけてある梵字や戒名などが書かれている木製の細長い板のことを言います。卒塔婆（そとば）とは、サンスクリット語の「ストゥーバ」を音訳したものだといわれています。,99,削除,削除,削除,削除,,,,,,,,,,,,,,,重複,17/5/18
,http://h-sougi.com/,,,そ,http://h-sougi.com/category/word_so,http://h-sougi.com/archives/259,,卒塔婆（そとうば）,卒塔婆,そとうば,"お墓の後ろに立てかけてある、
卒塔婆（そとば）は、インドのサンスクリット語「ストゥーバ」を音訳したもので、もともとはインドにある「塔」をあらわす言葉です。
その昔、お釈迦様が入滅されたとき、その遺骨（仏舎利といいます）は弟子たちによって８つに分骨され、それぞれの場所に埋骨されました。埋骨した上に建てられた塔が“ストゥーバ”で、その後、長い時間を経て五重の塔などに形を変え、五輪塔へと象形化されていったのです。
その五輪塔がさらに年月をかけて簡略化されたものが卒塔婆ですので、卒塔婆をよく見ると、上部が塔をあらわす形になっています。
卒塔婆は供養のために建てられるものですので、故人の回忌や盂蘭盆会などの供養とともに、新しいものと変えられます。
卒塔婆の表面に書かれているのは、仏教の宇宙観をあらわす「空・風・火・水・地」の五大要素を梵字であらわしたもので、その下に戒名、回忌、盂蘭盆会、彼岸などの供養の機会が記載してあります。裏面に、供養の日付、施主名を記載しますが、最近では施主がわかりやすいように表に書くことも多いようです。",465,削除,削除,削除,削除,,,,,,,,,,,,,,,重複,17/5/18
,http://souzoku-sougi.com/publics/index/139/,さ行,http://souzoku-sougi.com/publics/index/139/#page139_368_633,,,http://souzoku-sougi.com/publics/index/139/#page139_130_522,,卒塔婆(そとば),卒塔婆,そとば,供養塔や墓標として伝えられ、焚字などを書いた板木。仏舎利を納めた仏塔「ストゥーパ」が音訳されたものです。経文や施主名を書き、彼岸や命日などに墓前に立て、読経供養します。,84,削除,削除,削除,削除,,,,,,,,,,,,,,,重複,20/4/18
,https://www.aeonlife.jp/glossary/,さ行,https://www.aeonlife.jp/glossary/word/sa_list.html,さ,,https://www.aeonlife.jp//glossary/word/sorei.html,,祖霊 （それい）,祖霊,それい,祖先の霊。御霊をいう。死者の霊は肉体から離れたあとも、生前の個性を保っているが、盆ごとに生家を訪れて子孫の供養を受け、三十三回忌ないし五十回忌の弔い上げによって、集合体としての祖先霊として扱われます。,100,削除,削除,削除,削除,,,,,,,,,,,,,,,重複,20/4/18
,http://souzoku-sougi.com/publics/index/139/,さ行,http://souzoku-sougi.com/publics/index/139/#page139_368_633,,,http://souzoku-sougi.com/publics/index/139/#page139_130_523,,祖霊(それい),祖霊,それい,先祖の霊。神道では、死者の霊は肉体から離れても生前の個性を保ったままでいますが、合祀祭での供養を受け五十日祭、百日祭あるいは一年祭のあとに清払いを受けることによって、集合体としての先祖の霊として扱われます。それを称して祖霊と呼びます。,117,削除,削除,削除,削除,,,,,,,,,,,,,,,重複,20/4/18
,http://www.sakata-sousai.com/word/,た行,,,,http://www.sakata-sousai.com/word/word_068.html,,逮夜 たいや,逮夜,たいや,葬儀の前夜。また、忌日の前夜。この夜には僧侶を招いて、位牌を飾り、故人の冥福を祈る風習があるが、現在は行われていない。,59,削除,削除,削除,削除,,,,,,,,,,,,,,,重複,17/5/18
,http://j-sougi.com/sougi-knowledge/glossary,た,,,,,,荼毘 (だび),荼毘 ,だび,仏教の用語。火葬のこと。,12,削除,削除,削除,削除,,,,,,,,,,,,,,,重複,17/5/18
,http://kakaku.com/sougi/howto/S0026.html,タ行,,,,,,荼毘（だび）,荼毘,だび,火葬のこと。,6,削除,削除,削除,削除,,,,,,,,,,,,,,,重複,17/5/18
,http://j-sougi.com/sougi-knowledge/glossary,た,,,,,,玉串 (たまぐし),玉串 ,たまぐし,神道で用います。榊の枝に垂をつけたもののことです。,25,削除,削除,削除,削除,,,,,,,,,,,,,,,重複,17/5/18
,https://www.aeonlife.jp/glossary/,た行,https://www.aeonlife.jp/glossary/word/ta_list.html,た,,https://www.aeonlife.jp//glossary/word/kao3.html,,玉串奉奠 （たまぐしほうてん）,玉串奉奠,たまぐしほうてん,榊の枝に紙垂をつけたものを用い、神前に敬意を表し、神意を受けるために、祈念を込めて捧げるもの。神式の告別式にあたる （葬場祭）では、弔辞・弔電披露の後、斎主、喪主の順で玉串の奉奠を行います。,95,削除,削除,削除,削除,,,,,,,,,,,,,,,重複,20/4/18
,http://j-sougi.com/sougi-knowledge/glossary,た,,,,,,玉串奉奠 (たまぐしほうてん),玉串奉奠 ,たまぐしほうてん,神道の用語。榊の小枝を祭壇に供えること。仏式の焼香にあたるもの。,32,削除,削除,削除,削除,,,,,,,,,,,,,,,重複,17/5/18
,http://www.sakata-sousai.com/word/,た行,,,,http://www.sakata-sousai.com/word/word_041.html,,玉串奉奠 たまぐしほうてん,玉串奉奠,たまぐしほうてん,神式のお通夜やご葬儀の際、仏式の焼香にあたるものとして行われることをさします。玉串とは榊の枝に四手（しで）という紙片を下げたもので、神の霊が宿るとされてきました。参拝者はこれを祭壇に捧げ、故人の冥福を祈ります。,105,削除,削除,削除,削除,,,,,,,,,,,,,,,重複,17/5/18
,https://www.aoba-c.com/%E8%91%AC%E5%84%80%E3%81%AE%E8%B1%86%E7%9F%A5%E8%AD%98/%E8%91%AC%E5%84%80%E7%94%A8%E8%AA%9E%E9%9B%86/,,,,,,,玉串奉奠（たまぐしほうてん）,玉串奉奠,たまぐしほうてん,神様に玉串を捧げる儀式のことを「玉串奉奠（たまぐしほうてん）」といいます。玉串は榊の小枝に「紙垂（しで）」と呼ばれる細長く独特の形に切られた白い紙をつけたもので、魔物から守ってくれる神の手をあらわしたものをつけます。,108,削除,削除,削除,削除,,,,,,,,,,,,,,,重複,17/5/18
,http://www.gishiki.co.jp/dictionary/wordbook/index.html,た行,,,,,,玉串奉奠（たまぐしほうてん）,玉串奉奠,たまぐしほうてん,神式のお通夜やご葬儀の際、仏式の焼香にあたるものとして行われることをさします。玉串とは榊の枝に四手（しで）という紙片を下げたもので、神の霊が宿るとされてきました。参拝者はこれを祭壇に捧げ、故人の冥福を祈ります。,105,削除,削除,削除,削除,,,,,,,,,,,,,,,重複,17/5/18
,http://www.gotousogisya.com/word.html,た行,,,,,,玉串奉奠（たまぐしほうてん）,玉串奉奠,たまぐしほうてん,神式のお通夜やご葬儀の際、仏式の焼香にあたるものとして行われること。榊の枝に四手（しで）という紙片を下げたもので、これを祭壇に捧げます。,68,削除,削除,削除,削除,,,,,,,,,,,,,,,重複,17/5/18
,http://h-sougi.com/,,,た,http://h-sougi.com/category/word_ta,http://h-sougi.com/archives/260,,玉串奉奠（たまぐしほうてん）,玉串奉奠,たまぐしほうてん,"神に玉串を捧げる儀式のことを、「玉串奉奠（たまぐしほうてん）」と言います。
神を敬い、崇拝する心を玉串にのせて捧げるもので、神と一体となることを願うことの象徴とも言われ、仏式の焼香にあたる儀式です。
玉串奉奠は、「手水」「しのび手」とともに、神式の葬儀では必ず覚えておきたい作法のひとつです。
玉串奉奠の作法は、
①自分の順番がきたら前にすすみ、神職に一礼します
②玉串は、左手で葉の部分をしたから支え、右手を枝の上にして持つように受け取ります
③右手の枝の部分を時計回りに90度回転させ、葉の部分が上になるようにします
④左手を枝、右手を葉の部分に持ち替え、枝の根元が祭壇に向くようにします
⑤玉串に両手をそえたまま、玉串案に置きます
⑥一歩さがって一礼
⑦“しのび手”を二回、行ないます。音をたてないように気をつけてください
⑧最後に深く一礼をし、自分の席に戻ります。",386,削除,削除,削除,削除,,,,,,,,,,,,,,,重複,17/5/18
,http://www.gotousogisya.com/word.html,さ行,,,,,,檀家(だんか),檀家,だんか,寺の信者となり、お布施などの経済的な援助を行い、葬式や法事などを行ってもらう家。,40,削除,削除,削除,削除,,,,,,,,,,,,,,,重複,17/5/18
,http://h-sougi.com/,,,た,http://h-sougi.com/category/word_ta,http://h-sougi.com/archives/261,,檀家（だんか）,檀家,だんか,"「檀家」とは、寺院にお墓を持ち、金品等の寄進を行い、その寺院を維持するための協力をする一般家庭のことを言います。
江戸時代、キリスト教を取り締まるために、幕府が寺院に命じて作成させたのが“宗旨人別帳”ですが、これによって、世襲的に寺院の維持を行なう制度が確立したのです。
檀家は、インドのサンスクリット語である「ダーナバティ」を語源とし、「布施をする人」という意味で、布施のもともとの意味は、“見返りを求めず、自らの持つものを他人に分け与える”ということです。
寺院を維持・運営するために費用がかかるのは当然ですが、仏教における布施の意味を考えると、「お金さえだせば極楽浄土に行ける」というものではありませんね。その寺院の檀家になることは、信徒でもあるということですから、宗旨を守って信心につとめましょう。",353,削除,削除,削除,削除,,,,,,,,,,,,,,,重複,17/5/18
,http://kakaku.com/sougi/howto/S0026.html,タ行,,,,,,檀家（だんか）,檀家,だんか,その寺の信者となり、お布施などの経済的な援助を行い、葬式・法事などを行ってもらう家。,42,削除,削除,削除,削除,,,,,,,,,,,,,,,重複,17/5/18
,http://www.aoisousai.net/category/1531697.html,,,,,,,だんたいそう(団体葬),団体葬,だんたいそう,団体が主催して行う葬儀。参照「社葬」。,19,削除,削除,削除,削除,,,,,,,,,,,,,,,重複,17/5/18
,http://www.aoisousai.net/category/1531697.html,,,,,,,だんなでら(檀那寺),檀那寺,だんなでら,檀家となっている寺。,10,削除,削除,削除,削除,,,,,,,,,,,,,,,重複,17/5/18
,http://souzoku-sougi.com/publics/index/139/,た行,http://souzoku-sougi.com/publics/index/139/#page139_368_634,,,http://souzoku-sougi.com/publics/index/139/#page139_130_542,,中陰(ちゅういん),中陰,ちゅういん,仏教の死生観で、生きている間を本有と呼び、死んで次の生を得る間の四十九日間を死者が生と死・陰と陽の狭間に居るため中陰(または中有)と呼びます。日本では四十九日の間とされ、本来はこの間、7日ごとに法事を行います。,105,削除,削除,削除,削除,,,,,,,,,,,,,,,重複,20/4/18
,http://www.aoisousai.net/category/1531697.html,,,,,,,ちょうじ(弔辞),弔辞,ちょうじ,告別式で口頭で読まれる故人を弔う文章のこと。「弔詞」とも言う。,31,削除,削除,削除,削除,,,,,,,,,,,,,,,重複,17/5/18
,https://www.aeonlife.jp/glossary/,た行,https://www.aeonlife.jp/glossary/word/ta_list.html,た,,https://www.aeonlife.jp//glossary/word/chouji.html,,弔辞 （ちょうじ）,弔辞,ちょうじ,葬儀のさいに披露する、死者への最後の別れの言葉。ないようには　1.故人への追悼　2.故人の生前業績を讃える　3.残されたものの決意を述べる、という構成です。弔辞は会社関係の中で、故人と親睦のあつかった人に依頼します。奉書か巻紙に毛筆で書き、末尾から短冊形に折りたたみます。上包みをして「弔辞」の表書きをつけます。葬儀委員長の読む弔辞を式文とも言います。,176,削除,削除,削除,削除,,,,,,,,,,,,,,,重複,20/4/18
,http://www.aichi-shien.or.jp/sougiyougo,た行,http://www.aichi-shien.or.jp/sougiyougo#ttl-ta,,,,,弔辞 ちょうじ,弔辞,ちょうじ,告別式に口頭で読まれる故人を弔う文章のこと。,22,削除,削除,削除,削除,,,,,,,,,,,,,,,重複,17/5/18
,http://heiansaiten.co.jp/glossary.html,,,,,http://heiansaiten.co.jp/g031,,弔辞(ちょうじ),弔辞,ちょうじ,"葬儀のさいに披露する、死者への最後の別れの言葉。 内容には
①故人への追悼
②故人の生前の業績を讃える。
③残されたものの決意を述べる 　という構成です。
弔辞は社会関係のなかで故人の親睦のあつかった人に依頼します。
棒書か巻紙に毛筆で書き、末尾から短冊形に折畳みます。
上包みをして「弔辞」の表書きをつけます。葬儀委員長の読む弔辞を式文(しきもん)ともいいます。",182,削除,削除,削除,削除,,,,,,,,,,,,,,,重複,17/5/18
,http://heiansaiten.co.jp/glossary.html,,,,,http://heiansaiten.co.jp/g032,,手水(ちょうず),手水,ちょうず,"手水の儀は、紙道の祭儀のまえに行われる重要なもので、これをすませてから席につきます。
柄杓ですくった水は、三度に分けて注ぐのが正しい作法です。
自分で水を掛けるときは、まず左手を清め、次に右手を、次に左手に水を受けて口をすすぎ、
さらに最後に左手を洗い、紙を使います。",134,削除,削除,削除,削除,,,,,,,,,,,,,,,重複,17/5/18
,https://www.aoba-c.com/%E8%91%AC%E5%84%80%E3%81%AE%E8%B1%86%E7%9F%A5%E8%AD%98/%E8%91%AC%E5%84%80%E7%94%A8%E8%AA%9E%E9%9B%86/,,,,,,,手水の儀（ちょうずのぎ）,手水の儀,ちょうずのぎ,神聖な場所に入る前に水で手と口をすすぎ清める神式の儀式を「手水の儀（ちょうずのぎ）」といいます。神社を参拝する前に神社の境内にある柄杓で水を汲み手と口をすすぐ施設があります。,87,削除,削除,削除,削除,,,,,,,,,,,,,,,重複,17/5/18
,http://h-sougi.com/,,,ち,http://h-sougi.com/category/word_ti,http://h-sougi.com/archives/264,,手水の儀（ちょうずのぎ）,手水の儀,ちょうずのぎ,"元来は神に詣でる前には、近くにある清らかな川で身を清めたものでした。
「手水の儀」の作法は、まず、柄杓（ひしゃく）を右手で持って桶に入れられた水をすくい、左手にかけてすすぎます。次に左手に柄杓を持ちかえ、右手をすすぎます。もう一度、右手に持ちかえて左手に水を注ぎ、その水で口をすすぎ、その後、左手を洗いながします。このとき、柄杓の中に水が残らないように、すべて流します。
最後に、柄杓をもとの場所に戻し、懐紙で両手をふき取ります。懐紙は葬儀社で用意することが多いのですが、最近では懐紙のかわりに各自にお手拭きを渡すところが増えてきたようです。",271,削除,削除,削除,削除,,,,,,,,,,,,,,,重複,17/5/18
,http://www.aoisousai.net/category/1531697.html,,,,,,,ちょうでん(弔電),弔電,ちょうでん,遺族に向けて発信された故人を弔う雷報のこと。,22,削除,削除,削除,削除,,,,,,,,,,,,,,,重複,17/5/18
,http://www.aichi-shien.or.jp/sougiyougo,た行,http://www.aichi-shien.or.jp/sougiyougo#ttl-ta,,,,,弔電 ちょうでん,弔電,ちょうでん,遺族に向けて届けられる弔いの電報のこと。,20,削除,削除,削除,削除,,,,,,,,,,,,,,,重複,17/5/18
